sucursal,producto,semanas,semanas_train,semanas_test,estado,motivo,orden,aic
10,NAPROXENO TABX550MG,98,98.0,0.0,descartada,menos_de_2_semanas_test,,
10,PARACETAMOL 500MG,132,104.0,27.0,modelada,,"(2, 1, 2)",75.0960698292214
10,VITAMINA C+ZINC+D3,130,104.0,25.0,modelada,,"(1, 0, 2)",309.6400021399433
11,AMOXICILINA 500MG,106,77.0,28.0,modelada,,"(0, 0, 0)",-1634.2457138306447
11,AZITROMICINA 500MG,120,89.0,30.0,modelada,,"(0, 0, 0)",-1889.556734167887
11,CETIRIZINA 10MG,92,92.0,0.0,descartada,menos_de_2_semanas_test,,
11,DIMENHIDRINATO 50MG,119,89.0,29.0,modelada,,"(0, 0, 0)",-143.92323786677218
11,ENALAPRIL 10MG,127,96.0,30.0,modelada,,"(0, 0, 0)",17.797811450630494
11,IBUPROFENO TABX800,119,89.0,29.0,modelada,,"(0, 0, 0)",-143.92323786677218
11,LOPERAMIDA 2MG,24,0.0,24.0,descartada,menos_de_10_semanas_train,,
11,LORATADINA 10MG,89,89.0,0.0,descartada,menos_de_2_semanas_test,,
11,LOSARTAN 50MG,85,85.0,0.0,descartada,menos_de_2_semanas_test,,
11,METFORMINA 850MG,118,90.0,27.0,modelada,,"(0, 0, 0)",46.56019759615628
11,NAPROXENO TABX550MG,93,93.0,0.0,descartada,menos_de_2_semanas_test,,
11,OMEPRAZOL 20MG,31,31.0,0.0,descartada,menos_de_2_semanas_test,,
11,PARACETAMOL 500MG,127,99.0,27.0,modelada,,"(0, 0, 0)",-170.97211992024287
11,VITAMINA C+ZINC+D3,125,97.0,27.0,modelada,,"(0, 0, 0)",180.08107654247164
12,AMOXICILINA 500MG,106,76.0,29.0,modelada,,"(0, 0, 0)",-1612.9697954692072
12,AZITROMICINA 500MG,115,93.0,21.0,modelada,,"(0, 0, 3)",69.4256735582307
12,CETIRIZINA 10MG,87,87.0,0.0,descartada,menos_de_2_semanas_test,,
12,DIMENHIDRINATO 50MG,123,93.0,29.0,modelada,,"(0, 0, 0)",-91.16831632821234
12,ENALAPRIL 10MG,121,92.0,28.0,modelada,,"(2, 0, 2)",93.45225141180248
12,IBUPROFENO TABX800,123,93.0,29.0,modelada,,"(0, 0, 0)",-1974.6604076136339
12,LOPERAMIDA 2MG,1,,,descartada,menos_de_20_semanas,,
12,LORATADINA 10MG,74,74.0,0.0,descartada,menos_de_2_semanas_test,,
12,LOSARTAN 50MG,84,84.0,0.0,descartada,menos_de_2_semanas_test,,
12,METFORMINA 850MG,117,87.0,29.0,modelada,,"(1, 0, 1)",71.797550635128
12,NAPROXENO TABX550MG,86,86.0,0.0,descartada,menos_de_2_semanas_test,,
12,PARACETAMOL 500MG,122,93.0,28.0,modelada,,"(0, 0, 0)",-154.61460022979392
12,VITAMINA C+ZINC+D3,120,91.0,28.0,modelada,,"(0, 0, 3)",334.14201370631235
13,AMOXICILINA 500MG,99,74.0,24.0,modelada,,"(0, 0, 0)",-1570.417958746333
13,AZITROMICINA 500MG,105,74.0,30.0,modelada,,"(0, 0, 0)",-105.50473182012145
13,CETIRIZINA 10MG,67,67.0,0.0,descartada,menos_de_2_semanas_test,,
13,DIMENHIDRINATO 50MG,95,64.0,30.0,modelada,,"(0, 0, 0)",-81.55227962085452
13,ENALAPRIL 10MG,103,72.0,30.0,modelada,,"(0, 0, 0)",23.149050924112807
13,IBUPROFENO TABX800,93,64.0,28.0,modelada,,"(0, 0, 0)",-1357.658775131966
13,LORATADINA 10MG,67,67.0,0.0,descartada,menos_de_2_semanas_test,,
13,LOSARTAN 50MG,51,51.0,0.0,descartada,menos_de_2_semanas_test,,
13,METFORMINA 850MG,64,34.0,29.0,modelada,,"(0, 0, 0)",2.0973294350527443
13,NAPROXENO TABX550MG,68,68.0,0.0,descartada,menos_de_2_semanas_test,,
13,OMEPRAZOL 20MG,84,70.0,13.0,modelada,,"(0, 0, 0)",-95.75048379131222
13,PARACETAMOL 500MG,28,9.0,18.0,descartada,menos_de_10_semanas_train,,
13,VITAMINA C+ZINC+D3,97,74.0,22.0,modelada,,"(0, 0, 0)",147.58961507106036
14,AMOXICILINA 500MG,33,33.0,0.0,descartada,menos_de_2_semanas_test,,
14,AZITROMICINA 500MG,82,55.0,26.0,modelada,,"(0, 0, 0)",-1166.1755098790272
14,CETIRIZINA 10MG,49,49.0,0.0,descartada,menos_de_2_semanas_test,,
14,DIMENHIDRINATO 50MG,65,34.0,30.0,modelada,,"(0, 0, 0)",-719.381224288857
14,ENALAPRIL 10MG,92,61.0,30.0,modelada,,"(0, 1, 1)",24.157768701412582
14,IBUPROFENO TABX800,66,35.0,30.0,modelada,,"(0, 0, 0)",-740.6571426502951
14,LORATADINA 10MG,52,52.0,0.0,descartada,menos_de_2_semanas_test,,
14,LOSARTAN 50MG,39,39.0,0.0,descartada,menos_de_2_semanas_test,,
14,METFORMINA 850MG,89,61.0,27.0,modelada,,"(0, 0, 0)",95.72459651296873
14,NAPROXENO TABX550MG,55,55.0,0.0,descartada,menos_de_2_semanas_test,,
14,OMEPRAZOL 20MG,32,32.0,0.0,descartada,menos_de_2_semanas_test,,
14,PARACETAMOL 500MG,31,2.0,28.0,descartada,menos_de_10_semanas_train,,
14,VITAMINA C+ZINC+D3,90,60.0,29.0,modelada,,"(1, 0, 3)",175.10254350924868
15,AMOXICILINA 500MG,83,53.0,29.0,modelada,,"(0, 0, 0)",-1123.623673156157
15,AZITROMICINA 500MG,69,46.0,22.0,modelada,,"(0, 0, 0)",-42.58618873379105
15,CETIRIZINA 10MG,49,49.0,0.0,descartada,menos_de_2_semanas_test,,
15,DIMENHIDRINATO 50MG,46,16.0,29.0,modelada,,"(0, 0, 0)",4.011997188675566
15,ENALAPRIL 10MG,77,46.0,30.0,modelada,,"(0, 0, 0)",40.343039182565846
15,IBUPROFENO TABX800,80,49.0,30.0,modelada,,"(0, 1, 1)",-10.43607776946608
15,LOPERAMIDA 2MG,2,,,descartada,menos_de_20_semanas,,
15,LORATADINA 10MG,49,49.0,0.0,descartada,menos_de_2_semanas_test,,
15,LOSARTAN 50MG,44,44.0,0.0,descartada,menos_de_2_semanas_test,,
15,METFORMINA 850MG,79,49.0,29.0,modelada,,"(3, 1, 2)",9.23304937823741
15,NAPROXENO TABX550MG,49,49.0,0.0,descartada,menos_de_2_semanas_test,,
15,OMEPRAZOL 20MG,9,,,descartada,menos_de_20_semanas,,
15,PARACETAMOL 500MG,38,7.0,30.0,descartada,menos_de_10_semanas_train,,
15,VITAMINA C+ZINC+D3,86,55.0,30.0,modelada,,"(3, 1, 3)",197.36111873922843
16,AMOXICILINA 500MG,47,18.0,28.0,modelada,,"(0, 0, 0)",-378.9665305058657
16,AZITROMICINA 500MG,50,24.0,25.0,modelada,,"(0, 0, 0)",-506.6220406744876
16,CETIRIZINA 10MG,25,25.0,0.0,descartada,menos_de_2_semanas_test,,
16,DIMENHIDRINATO 50MG,63,32.0,30.0,modelada,,"(0, 0, 0)",27.25397846509291
16,ENALAPRIL 10MG,43,13.0,29.0,modelada,,"(0, 0, 0)",14.387270465379824
16,IBUPROFENO TABX800,59,30.0,28.0,modelada,,"(0, 0, 0)",-634.27755084311
16,LOPERAMIDA 2MG,37,6.0,30.0,descartada,menos_de_10_semanas_train,,
16,LORATADINA 10MG,22,22.0,0.0,descartada,menos_de_2_semanas_test,,
16,LOSARTAN 50MG,19,,,descartada,menos_de_20_semanas,,
16,METFORMINA 850MG,59,30.0,28.0,modelada,,"(0, 0, 0)",-13.916655939279803
16,NAPROXENO TABX550MG,25,25.0,0.0,descartada,menos_de_2_semanas_test,,
16,PARACETAMOL 500MG,39,10.0,28.0,modelada,,"(0, 0, 0)",-208.75918361437002
16,VITAMINA C+ZINC+D3,62,32.0,29.0,modelada,,"(1, 0, 2)",94.92746452577626
17,AMOXICILINA 500MG,19,,,descartada,menos_de_20_semanas,,
17,AZITROMICINA 500MG,22,1.0,20.0,descartada,menos_de_10_semanas_train,,
17,DIMENHIDRINATO 50MG,23,0.0,23.0,descartada,menos_de_10_semanas_train,,
17,ENALAPRIL 10MG,35,4.0,30.0,descartada,menos_de_10_semanas_train,,
17,IBUPROFENO TABX800,33,2.0,30.0,descartada,menos_de_10_semanas_train,,
