sucursal,producto,Modelo,MAE,RMSE,R2,Observaciones,Series,Varianza_y_real,SST,Porcentaje_ceros_test,R2_estado,Advertencias,clasificacion_demanda,grupo_demanda,porcentaje_ceros
10,METFORMINA 850MG,Random Forest,0.43260251119103227,0.783459202921206,-0.10485498075547639,6,1,0.5555555555555557,3.333333333333334,83.33333333333334,definido,una_sola_serie,intermitente,mayor_intermitencia,91.2621359223301
10,METFORMINA 850MG,Regresión Lineal,0.5263845207790406,0.789198210226583,-0.12110086704471512,6,1,0.5555555555555557,3.333333333333334,83.33333333333334,definido,una_sola_serie,intermitente,mayor_intermitencia,91.2621359223301
10,METFORMINA 850MG,XGBoost,0.4510607644915581,0.7847221651259074,-0.10841997759180533,6,1,0.5555555555555557,3.333333333333334,83.33333333333334,definido,una_sola_serie,intermitente,mayor_intermitencia,91.2621359223301
10,PARACETAMOL 500MG,ARIMA (Optimizado ADF/AIC),0.0841485883208419,0.19184863330299212,-0.031980758271719534,27,1,0.03566529492455418,0.962962962962963,96.29629629629629,definido,una_sola_serie,intermitente,mayor_intermitencia,92.3076923076923
10,PARACETAMOL 500MG,Random Forest,0.0721069798826288,0.2013736112424011,-0.13699694312320565,27,1,0.03566529492455418,0.962962962962963,96.29629629629629,definido,una_sola_serie,intermitente,mayor_intermitencia,92.3076923076923
10,PARACETAMOL 500MG,Regresión Lineal,0.08401564970078439,0.19484195243233493,-0.06443495022125667,27,1,0.03566529492455418,0.962962962962963,96.29629629629629,definido,una_sola_serie,intermitente,mayor_intermitencia,92.3076923076923
10,PARACETAMOL 500MG,XGBoost,0.07538359895072601,0.1928385170470157,-0.042657679841322516,27,1,0.03566529492455418,0.962962962962963,96.29629629629629,definido,una_sola_serie,intermitente,mayor_intermitencia,92.3076923076923
10,VITAMINA C+ZINC+D3,ARIMA (Optimizado ADF/AIC),1.0105987387555253,1.3375742868939273,-0.13406755385382763,25,1,1.5776,39.44,32.0,definido,una_sola_serie,intermitente,mayor_intermitencia,46.15384615384615
10,VITAMINA C+ZINC+D3,Random Forest,0.9929428620963792,1.2564924366485173,-0.0007436887391787383,25,1,1.5776,39.44,32.0,definido,una_sola_serie,intermitente,mayor_intermitencia,46.15384615384615
10,VITAMINA C+ZINC+D3,Regresión Lineal,1.046338713829799,1.32874874988142,-0.11915139472073832,25,1,1.5776,39.44,32.0,definido,una_sola_serie,intermitente,mayor_intermitencia,46.15384615384615
