sucursal,producto,ADI,CV2,porcentaje_ceros,clasificacion_demanda,grupo_demanda,n_semanas,n_semanas_demanda_positiva,media_demanda_positiva,desviacion_demanda_positiva,periodo_clasificacion,inicio_train,fin_train,CV2_estimable,intervalo_ceros,en_poblacion_comun
6,AZITROMICINA 500MG,104.0,,99.03846153846155,positivas_insuficientes,mayor_intermitencia,104,1,1.0,,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,False,Q3,True
6,CETIRIZINA 10MG,48.5,0.0,97.9381443298969,intermitente,mayor_intermitencia,97,2,1.0,0.0,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-09,True,,False
6,DIMENHIDRINATO 50MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,104,0,,,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,False,Q3,True
6,ENALAPRIL 10MG,11.555555555555555,1.5612244897959184,91.34615384615384,lumpy,mayor_intermitencia,104,9,3.111111111111111,3.8873012632302006,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q2,True
6,IBUPROFENO TABX800,,,100.0,sin_demanda_positiva,sin_demanda_positiva,104,0,,,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,False,Q3,True
6,LOPERAMIDA 2MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,102,0,,,TRAIN anterior a 2026-01-01,2024-01-21,2025-12-28,False,Q3,True
6,LORATADINA 10MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,97,0,,,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-09,False,,False
6,LOSARTAN 50MG,8.818181818181818,0.2603550295857988,88.65979381443299,intermitente,mayor_intermitencia,97,11,1.1818181818181819,0.6030226891555273,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-09,True,,False
6,METFORMINA 850MG,4.7272727272727275,0.18538114834411124,78.84615384615384,intermitente,mayor_intermitencia,104,22,1.2272727272727273,0.5284134548067253,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q1,True
6,NAPROXENO TABX550MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,97,0,,,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-09,False,,False
6,OMEPRAZOL 20MG,26.0,,96.15384615384616,positivas_insuficientes,mayor_intermitencia,26,1,1.0,,TRAIN anterior a 2026-01-01,2024-11-10,2025-05-04,False,,False
6,PARACETAMOL 500MG,104.0,,99.03846153846155,positivas_insuficientes,mayor_intermitencia,104,1,1.0,,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,False,,False
6,VITAMINA C+ZINC+D3,2.0392156862745097,0.3186238099726648,50.96153846153846,intermitente,mayor_intermitencia,104,51,2.019607843137255,1.1400034399672903,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q1,True
7,AMOXICILINA 500MG,76.0,,98.68421052631578,positivas_insuficientes,mayor_intermitencia,76,1,1.0,,TRAIN anterior a 2026-01-01,2024-07-21,2025-12-28,False,Q3,True
7,AZITROMICINA 500MG,104.0,,99.03846153846155,positivas_insuficientes,mayor_intermitencia,104,1,1.0,,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,False,Q3,True
7,CETIRIZINA 10MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,98,0,,,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-16,False,,False
7,DIMENHIDRINATO 50MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,101,0,,,TRAIN anterior a 2026-01-01,2024-01-28,2025-12-28,False,Q3,True
7,ENALAPRIL 10MG,8.0,0.0,87.5,intermitente,mayor_intermitencia,104,13,1.0,0.0,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q1,True
7,IBUPROFENO TABX800,,,100.0,sin_demanda_positiva,sin_demanda_positiva,104,0,,,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,False,Q3,True
7,LOPERAMIDA 2MG,3.0,,66.66666666666666,positivas_insuficientes,mayor_intermitencia,3,1,1.0,,TRAIN anterior a 2026-01-01,2024-01-07,2024-01-21,False,,False
7,LORATADINA 10MG,,,100.0,sin_demanda_positiva,sin_demanda_positiva,96,0,,,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-02,False,,False
7,LOSARTAN 50MG,9.7,0.0,89.69072164948454,intermitente,mayor_intermitencia,97,10,1.0,0.0,TRAIN anterior a 2026-01-01,2024-01-07,2025-11-09,True,,False
7,METFORMINA 850MG,17.333333333333332,0.0,94.23076923076923,intermitente,mayor_intermitencia,104,6,1.0,0.0,TRAIN anterior a 2026-01-01,2024-01-07,2025-12-28,True,Q2,True
