indice_original,codpro,prod,tipo,cantidad,unidades,total,fecdoc,sucursal,mes,estacion,producto,categoria_abc
43280,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.2,2025-03-19 12:00:00,11,3,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
43290,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-2.0,0.0,-30.4,2025-03-23 19:41:48,2,3,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
43333,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.2,2025-04-10 12:00:00,5,4,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
43513,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.2,2025-06-19 18:56:52,15,6,Invierno,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
43553,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.2,2025-07-04 18:38:15,10,7,Invierno,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
43584,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.2,2025-07-12 22:10:39,16,7,Invierno,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
43605,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.2,2025-07-24 12:00:00,3,7,Invierno,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
43713,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.2,2025-09-20 11:27:02,16,9,Primavera,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
43746,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.2,2025-10-03 11:11:46,2,10,Primavera,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
43867,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.2,2026-01-03 13:38:12,16,1,Verano,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
44013,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-14.9,2026-03-05 12:44:58,10,3,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
44079,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-14.9,2026-03-28 12:56:32,10,3,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
44081,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-14.9,2026-03-28 13:01:41,10,3,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
44102,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-14.9,2026-04-05 16:56:27,11,4,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
44123,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-14.9,2026-04-11 22:55:27,10,4,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
44138,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-14.9,2026-04-17 15:35:30,9,4,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
44141,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-14.9,2026-04-17 20:49:26,2,4,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
44291,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-14.5,2026-06-07 15:12:53,11,6,Invierno,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
44324,107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-1.0,0.0,-15.12,2026-06-29 11:05:18,1,6,Invierno,VITAMINA C+ZINC+D3,Clase A (Alta Rotación)
