codpro,prod,tipo,cantidad,unidades,total,fecdoc,sucursal,mes,estacion,producto,categoria_abc,dia
101410,ENALAPRIL 10MG TAB CJAX140UND,FARM.GENERICOS,-1.0,0.0,-10.0,2025-03-02 19:30:15,2,3,Otoño,ENALAPRIL 10MG,Clase A (Alta Rotación),2025-03-02
100018,METFORMINA 850MG TAB CJAX30UND,GENFAR,1.0,0.0,9.0,2024-12-13 08:15:15,2,12,Verano,METFORMINA 850MG,Clase B (Rotación Media),2024-12-13
100018,METFORMINA 850MG TAB CJAX30UND,GENFAR,-1.0,0.0,-9.0,2024-12-13 08:17:10,2,12,Verano,METFORMINA 850MG,Clase B (Rotación Media),2024-12-13
102759,NAPROXENO 550MG COM. REC CJAX100UND,PERUFARMA GENERICO,0.0,10.0,3.0,2025-06-05 11:23:04,2,6,Invierno,NAPROXENO TABX550MG,Clase C (Baja Rotación),2025-06-05
102759,NAPROXENO 550MG COM. REC CJAX100UND,PERUFARMA GENERICO,2.0,0.0,60.0,2025-06-05 11:48:47,2,6,Invierno,NAPROXENO TABX550MG,Clase C (Baja Rotación),2025-06-05
102759,NAPROXENO 550MG COM. REC CJAX100UND,PERUFARMA GENERICO,-2.0,0.0,-60.0,2025-06-05 11:57:22,2,6,Invierno,NAPROXENO TABX550MG,Clase C (Baja Rotación),2025-06-05
102759,NAPROXENO 550MG COM. REC CJAX100UND,PERUFARMA GENERICO,2.0,0.0,60.0,2025-06-05 12:00:08,2,6,Invierno,NAPROXENO TABX550MG,Clase C (Baja Rotación),2025-06-05
102759,NAPROXENO 550MG COM. REC CJAX100UND,PERUFARMA GENERICO,0.0,10.0,3.0,2025-06-05 14:14:06,2,6,Invierno,NAPROXENO TABX550MG,Clase C (Baja Rotación),2025-06-05
102759,NAPROXENO 550MG COM. REC CJAX100UND,PERUFARMA GENERICO,0.0,10.0,3.0,2025-06-05 15:44:19,2,6,Invierno,NAPROXENO TABX550MG,Clase C (Baja Rotación),2025-06-05
102759,NAPROXENO 550MG COM. REC CJAX100UND,PERUFARMA GENERICO,0.0,10.0,3.0,2025-06-05 20:14:54,2,6,Invierno,NAPROXENO TABX550MG,Clase C (Baja Rotación),2025-06-05
102759,NAPROXENO 550MG COM. REC CJAX100UND,PERUFARMA GENERICO,1.0,0.0,33.0,2025-11-07 14:54:40,2,11,Primavera,NAPROXENO TABX550MG,Clase C (Baja Rotación),2025-11-07
102759,NAPROXENO 550MG COM. REC CJAX100UND,PERUFARMA GENERICO,0.0,10.0,3.5,2025-11-07 17:37:43,2,11,Primavera,NAPROXENO TABX550MG,Clase C (Baja Rotación),2025-11-07
102759,NAPROXENO 550MG COM. REC CJAX100UND,PERUFARMA GENERICO,0.0,10.0,3.5,2025-11-07 18:27:52,2,11,Primavera,NAPROXENO TABX550MG,Clase C (Baja Rotación),2025-11-07
102759,NAPROXENO 550MG COM. REC CJAX100UND,PERUFARMA GENERICO,-1.0,0.0,-33.0,2025-11-07 18:39:54,2,11,Primavera,NAPROXENO TABX550MG,Clase C (Baja Rotación),2025-11-07
102759,NAPROXENO 550MG COM. REC CJAX100UND,PERUFARMA GENERICO,1.0,0.0,28.29,2025-11-07 18:42:13,2,11,Primavera,NAPROXENO TABX550MG,Clase C (Baja Rotación),2025-11-07
100923,PARACETAMOL 500MG TAB CJAX100UND,GENFAR,1.0,0.0,9.02,2025-11-07 14:54:40,2,11,Primavera,PARACETAMOL 500MG,Clase B (Rotación Media),2025-11-07
100923,PARACETAMOL 500MG TAB CJAX100UND,GENFAR,0.0,10.0,1.0,2025-11-07 17:00:43,2,11,Primavera,PARACETAMOL 500MG,Clase B (Rotación Media),2025-11-07
100923,PARACETAMOL 500MG TAB CJAX100UND,GENFAR,0.0,10.0,1.0,2025-11-07 17:27:50,2,11,Primavera,PARACETAMOL 500MG,Clase B (Rotación Media),2025-11-07
100923,PARACETAMOL 500MG TAB CJAX100UND,GENFAR,-1.0,0.0,-9.02,2025-11-07 18:39:54,2,11,Primavera,PARACETAMOL 500MG,Clase B (Rotación Media),2025-11-07
100923,PARACETAMOL 500MG TAB CJAX100UND,GENFAR,1.0,0.0,7.73,2025-11-07 18:42:13,2,11,Primavera,PARACETAMOL 500MG,Clase B (Rotación Media),2025-11-07
100923,PARACETAMOL 500MG TAB CJAX100UND,GENFAR,0.0,5.0,0.5,2025-11-07 19:10:04,2,11,Primavera,PARACETAMOL 500MG,Clase B (Rotación Media),2025-11-07
100923,PARACETAMOL 500MG TAB CJAX100UND,GENFAR,0.0,10.0,1.0,2025-11-07 19:54:23,2,11,Primavera,PARACETAMOL 500MG,Clase B (Rotación Media),2025-11-07
107417,VITAMINA C+ZINC+D3 NARANJA FCOX20 TB.EFERV.,EUROCARE,-2.0,0.0,-31.0,2024-04-17 12:00:00,2,4,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2024-04-17
107417,VITAMINA C+ZINC+D3 NARANJA FCOX20 TB.EFERV.,EUROCARE,2.0,0.0,31.0,2024-04-17 14:00:02,2,4,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2024-04-17
107417,VITAMINA C+ZINC+D3 NARANJA FCOX20 TB.EFERV.,EUROCARE,2.0,0.0,31.0,2024-04-17 14:04:34,2,4,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2024-04-17
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,2.0,0.0,30.4,2025-03-23 19:29:31,2,3,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2025-03-23
107417,VITAMINA C+ZINC+D3 NARANJA TAB.EFERV. TBOX20UND,EUROCARE,-2.0,0.0,-30.4,2025-03-23 19:41:48,2,3,Otoño,VITAMINA C+ZINC+D3,Clase A (Alta Rotación),2025-03-23
